		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
03/08/14	12:10 a	28.4	28.5	28.4	65	21.2	3.1	E	1.88	6.7	ENE	28.4	30.8	30.8	30.0	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	33.8	42	19.1	36.2	7.63	 .0698	0.00	233	1	100.0	10
03/08/14	12:20 a	28.6	28.6	28.4	64	21.1	4.0	E	2.41	8.5	ESE	28.1	30.9	30.4	29.7	754.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.8	42	19.1	36.1	7.64	 .0698	0.00	235	1	100.0	10
03/08/14	12:30 a	28.6	28.6	28.6	64	21.1	4.0	ESE	2.41	8.0	ESE	28.2	31.0	30.6	29.9	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.8	42	19.1	36.1	7.64	 .0698	0.00	234	1	100.0	10
03/08/14	12:40 a	28.7	28.7	28.6	63	21.0	3.6	E	2.15	8.9	SE	28.6	31.1	30.9	30.2	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	33.7	42	19.0	35.9	7.64	 .0698	0.00	234	1	100.0	10
03/08/14	12:50 a	28.7	28.7	28.7	63	20.9	4.0	E	2.41	8.5	E	28.3	30.9	30.6	29.8	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	33.7	42	19.0	35.9	7.64	 .0698	0.00	234	1	100.0	10
03/08/14	1:00 a	28.5	28.7	28.5	64	21.0	4.5	ESE	2.68	9.8	SE	27.8	30.7	30.1	29.4	754.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.7	42	19.0	35.9	7.64	 .0698	0.10	235	1	100.0	10
03/08/14	1:10 a	28.5	28.6	28.5	64	21.0	4.5	E	2.68	9.4	ESE	27.8	30.7	30.1	29.4	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.7	42	19.0	35.9	7.64	 .0698	0.00	233	1	100.0	10
03/08/14	1:20 a	28.5	28.5	28.4	64	21.0	4.5	E	2.68	8.9	ENE	27.8	30.7	30.1	29.4	754.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.7	43	19.4	36.2	7.85	 .0697	0.00	235	1	100.0	10
03/08/14	1:30 a	28.5	28.5	28.5	64	21.0	4.5	E	2.68	8.5	SE	27.8	30.7	30.1	29.4	754.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	33.6	43	19.3	36.1	7.85	 .0697	0.00	234	1	100.0	10
03/08/14	1:40 a	28.4	28.5	28.4	64	21.0	4.0	E	2.41	7.2	E	28.0	30.6	30.2	29.4	754.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	33.6	43	19.3	35.9	7.85	 .0698	0.00	234	1	100.0	10
03/08/14	1:50 a	28.4	28.4	28.4	64	20.9	4.0	E	2.41	8.9	ENE	27.9	30.5	30.1	29.3	754.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	33.5	43	19.2	35.8	7.86	 .0698	0.00	234	1	100.0	10
03/08/14	2:00 a	28.3	28.4	28.3	64	20.9	4.5	E	2.68	9.4	E	27.7	30.4	29.7	29.1	754.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	33.5	43	19.2	35.8	7.86	 .0698	0.10	234	1	100.0	10
03/08/14	2:10 a	28.2	28.3	28.2	65	21.0	4.5	E	2.68	9.8	ENE	27.6	30.3	29.7	29.0	754.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	33.4	43	19.2	35.7	7.86	 .0698	0.00	234	1	100.0	10
03/08/14	2:20 a	28.2	28.2	28.2	66	21.2	4.9	E	2.95	9.4	SE	27.3	30.4	29.5	28.8	754.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	33.4	43	19.2	35.7	7.86	 .0698	0.00	234	1	100.0	10
03/08/14	2:30 a	28.1	28.2	28.1	66	21.1	5.8	E	3.49	11.6	E	26.9	30.2	29.0	28.4	753.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	33.4	43	19.1	35.6	7.87	 .0698	0.00	235	1	100.0	10
