		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/12/14	12:10 a	23.7	23.7	23.7	82	20.5	0.9	S	0.54	2.2	S	23.7	25.1	25.1	24.3	757.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0716	0.00	233	1	100.0	10
01/12/14	12:20 a	23.7	23.8	23.7	81	20.3	1.3	S	0.80	4.0	S	23.7	25.1	25.1	24.3	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0716	0.00	234	1	100.0	10
01/12/14	12:30 a	23.8	23.8	23.8	81	20.4	2.2	SSE	1.34	5.8	S	23.8	25.2	25.2	24.4	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	27.2	59	18.5	28.1	10.55	 .0716	0.00	234	1	100.0	10
01/12/14	12:40 a	23.7	23.8	23.7	82	20.5	2.2	SSE	1.34	4.5	S	23.7	25.1	25.1	24.3	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0716	0.00	234	1	100.0	10
01/12/14	12:50 a	23.7	23.7	23.7	81	20.2	1.8	SSE	1.07	5.4	S	23.7	25.0	25.0	24.2	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0716	0.00	234	1	100.0	10
01/12/14	1:00 a	23.7	23.7	23.7	81	20.3	1.3	S	0.80	4.9	S	23.7	25.1	25.1	24.3	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0716	0.03	234	1	100.0	10
01/12/14	1:10 a	23.7	23.7	23.7	81	20.3	1.3	S	0.80	4.0	WSW	23.7	25.1	25.1	24.3	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.1	10.55	 .0715	0.00	234	1	100.0	10
01/12/14	1:20 a	23.8	23.8	23.7	81	20.3	1.8	S	1.07	4.0	S	23.8	25.2	25.2	24.4	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	27.2	59	18.5	28.1	10.55	 .0715	0.00	235	1	100.0	10
01/12/14	1:30 a	23.7	23.8	23.7	82	20.4	1.3	SSE	0.80	3.1	SSW	23.7	25.1	25.1	24.3	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.0	10.55	 .0715	0.00	234	1	100.0	10
01/12/14	1:40 a	23.7	23.7	23.7	82	20.4	2.2	S	1.34	4.9	SSW	23.7	25.1	25.1	24.3	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.0	10.55	 .0715	0.00	234	1	100.0	10
01/12/14	1:50 a	23.6	23.7	23.6	82	20.4	1.8	S	1.07	3.6	SSW	23.6	24.9	24.9	24.2	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.037	27.2	59	18.5	28.0	10.55	 .0715	0.00	234	1	100.0	10
01/12/14	2:00 a	23.6	23.6	23.6	82	20.3	1.8	S	1.07	3.6	SE	23.6	24.8	24.8	24.1	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.036	27.2	59	18.5	28.0	10.55	 .0715	0.03	234	1	100.0	10
