		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
10/12/14	12:10 a	24.7	24.8	24.7	96	24.0	0.9	SW	0.54	2.7	SW	24.7	27.1	27.1	26.5	758.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.8	61	22.4	34.7	10.85	 .0705	0.00	233	1	100.0	10
10/12/14	12:20 a	24.7	24.8	24.7	96	24.0	0.9	SSW	0.54	3.6	WSW	24.7	27.1	27.1	26.5	758.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.8	61	22.4	34.7	10.85	 .0705	0.00	234	1	100.0	10
10/12/14	12:30 a	24.7	24.8	24.7	96	24.0	0.9	SSE	0.54	3.1	SW	24.7	27.1	27.1	26.5	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.8	61	22.4	34.7	10.85	 .0704	0.00	234	1	100.0	10
10/12/14	12:40 a	24.7	24.7	24.7	96	24.0	1.3	S	0.80	3.6	WSW	24.7	27.1	27.1	26.5	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.7	10.86	 .0705	0.00	234	1	100.0	10
10/12/14	12:50 a	24.7	24.7	24.7	96	24.0	0.9	WSW	0.54	2.7	SW	24.7	27.1	27.1	26.5	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.7	10.86	 .0704	0.00	234	1	100.0	10
10/12/14	1:00 a	24.7	24.7	24.7	96	24.0	0.9	SSW	0.54	2.7	SW	24.7	27.1	27.1	26.4	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.6	10.86	 .0705	0.00	234	1	100.0	10
10/12/14	1:10 a	24.7	24.7	24.7	96	24.0	0.9	SSW	0.54	3.1	S	24.7	27.1	27.1	26.5	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.6	10.86	 .0704	0.00	235	1	100.0	10
10/12/14	1:20 a	24.7	24.7	24.7	96	24.0	0.4	SSW	0.27	3.1	WSW	24.7	27.1	27.1	26.5	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.6	10.86	 .0704	0.00	234	1	100.0	10
10/12/14	1:30 a	24.7	24.7	24.7	96	24.0	0.4	S	0.27	2.2	SSE	24.7	27.1	27.1	26.5	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.7	61	22.3	34.6	10.86	 .0704	0.00	234	1	100.0	10
10/12/14	1:40 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	2.7	SSW	24.7	27.1	27.1	26.5	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.5	10.87	 .0704	0.00	234	1	100.0	10
10/12/14	1:50 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	3.6	SSW	24.7	27.1	27.1	26.4	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.5	10.87	 .0704	0.00	234	1	100.0	10
10/12/14	2:00 a	24.7	24.7	24.7	96	24.0	0.9	SW	0.54	2.7	SSW	24.7	27.1	27.1	26.4	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.5	10.87	 .0704	0.00	235	1	100.0	10
10/12/14	2:10 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	3.6	S	24.7	27.1	27.1	26.4	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.5	10.87	 .0704	0.00	233	1	100.0	10
10/12/14	2:20 a	24.7	24.7	24.7	96	24.0	0.4	S	0.27	2.7	WSW	24.7	27.1	27.1	26.5	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.4	10.87	 .0704	0.00	235	1	100.0	10
10/12/14	2:30 a	24.8	24.8	24.7	96	24.1	0.9	S	0.54	3.1	SSW	24.8	27.2	27.2	26.6	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.045	30.6	61	22.2	34.4	10.87	 .0704	0.00	234	1	100.0	10
10/12/14	2:40 a	24.7	24.7	24.7	96	24.0	0.9	SSW	0.54	2.7	S	24.7	27.1	27.1	26.5	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	61	22.2	34.4	10.87	 .0704	0.00	234	1	100.0	10
10/12/14	2:50 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	4.0	S	24.7	27.1	27.1	26.5	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.5	61	22.1	34.3	10.87	 .0705	0.00	234	1	100.0	10
10/12/14	3:00 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	2.2	S	24.7	27.1	27.1	26.5	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.5	61	22.1	34.3	10.87	 .0705	0.00	234	1	100.0	10
10/12/14	3:10 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	3.6	SSW	24.7	27.1	27.1	26.4	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.5	61	22.1	34.3	10.87	 .0705	0.00	234	1	100.0	10
10/12/14	3:20 a	24.7	24.7	24.7	96	24.0	0.9	S	0.54	2.2	SSW	24.7	27.1	27.1	26.5	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.1	34.2	10.88	 .0705	0.00	234	1	100.0	10
10/12/14	3:30 a	24.7	24.7	24.7	96	24.0	0.4	S	0.27	2.7	SW	24.7	27.1	27.1	26.5	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.1	34.2	10.88	 .0705	0.00	235	1	100.0	10
10/12/14	3:40 a	24.7	24.7	24.7	95	23.9	0.4	SW	0.27	2.7	S	24.7	27.1	27.1	26.4	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.1	34.2	10.88	 .0705	0.00	234	1	100.0	10
10/12/14	3:50 a	24.7	24.7	24.7	95	23.8	0.4	S	0.27	1.8	SSW	24.7	27.0	27.0	26.3	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.1	34.2	10.88	 .0705	0.00	234	1	100.0	10
10/12/14	4:00 a	24.7	24.7	24.7	95	23.9	0.4	S	0.27	2.2	S	24.7	27.1	27.1	26.4	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.1	34.2	10.88	 .0705	0.00	234	1	100.0	10
10/12/14	4:10 a	24.7	24.7	24.7	95	23.8	0.9	S	0.54	2.2	SSW	24.7	27.0	27.0	26.3	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.0	34.1	10.88	 .0705	0.00	234	1	100.0	10
10/12/14	4:20 a	24.7	24.7	24.7	95	23.8	0.4	S	0.27	1.8	S	24.7	27.0	27.0	26.3	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.4	61	22.0	34.1	10.88	 .0705	0.00	234	1	100.0	10
