		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
17/11/14	12:10 a	25.2	25.2	25.2	88	23.0	1.3	S	0.80	3.6	S	25.2	27.4	27.4	26.7	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	31.4	58	22.1	35.2	10.28	 .0703	0.00	233	1	100.0	10
17/11/14	12:20 a	25.2	25.2	25.1	88	23.0	1.8	SSE	1.07	3.1	WSW	25.2	27.4	27.4	26.7	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	31.3	58	22.1	35.1	10.28	 .0703	0.00	234	1	100.0	10
17/11/14	12:30 a	25.1	25.2	25.0	89	23.1	1.8	SSE	1.07	4.0	S	25.1	27.3	27.3	26.6	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	31.3	58	22.0	34.9	10.28	 .0703	0.00	235	1	100.0	10
17/11/14	12:40 a	24.9	25.1	24.9	89	22.9	2.2	S	1.34	5.4	SSW	24.9	27.0	27.0	26.3	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	31.2	59	22.2	34.9	10.49	 .0703	0.00	234	1	100.0	10
17/11/14	12:50 a	24.8	24.9	24.8	90	23.0	1.3	SSE	0.80	3.6	WSW	24.8	26.9	26.9	26.2	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.045	31.2	59	22.2	34.9	10.49	 .0703	0.00	234	1	100.0	10
17/11/14	1:00 a	24.7	24.8	24.7	90	22.9	1.3	S	0.80	3.6	S	24.7	26.7	26.7	26.1	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	31.1	59	22.2	34.7	10.49	 .0703	0.03	234	1	100.0	10
17/11/14	1:10 a	24.6	24.7	24.6	91	23.0	1.8	S	1.07	3.6	SE	24.6	26.6	26.6	25.9	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.043	31.1	59	22.1	34.7	10.49	 .0703	0.00	234	1	100.0	10
17/11/14	1:20 a	24.5	24.6	24.5	91	22.9	1.8	S	1.07	3.1	SSW	24.5	26.6	26.6	25.9	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.043	31.1	59	22.1	34.7	10.49	 .0703	0.00	234	1	100.0	10
17/11/14	1:30 a	24.4	24.5	24.4	91	22.9	1.3	SSE	0.80	3.1	SE	24.4	26.4	26.4	25.8	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.0	59	22.0	34.6	10.49	 .0703	0.00	235	1	100.0	10
