		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
26/10/14	12:10 a	24.2	24.2	24.2	94	23.2	0.0	---	0.00	0.0	---	24.2	26.3	26.3	25.7	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	31.6	61	23.1	36.3	10.80	 .0701	0.00	233	1	100.0	10
26/10/14	12:20 a	24.3	24.3	24.2	94	23.2	0.0	E	0.00	1.8	E	24.3	26.4	26.4	25.7	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	31.6	61	23.1	36.3	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	12:30 a	24.3	24.3	24.3	94	23.3	0.0	E	0.00	0.4	E	24.3	26.4	26.4	25.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.6	61	23.1	36.3	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	12:40 a	24.3	24.3	24.3	94	23.3	0.0	ESE	0.00	1.8	ESE	24.3	26.4	26.4	25.8	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.6	61	23.1	36.3	10.80	 .0701	0.00	235	1	100.0	10
26/10/14	12:50 a	24.3	24.3	24.3	94	23.2	0.0	ESE	0.00	0.9	ESE	24.3	26.4	26.4	25.7	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	31.6	61	23.1	36.3	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	1:00 a	24.3	24.3	24.3	94	23.2	0.0	ESE	0.00	0.9	ESE	24.3	26.4	26.4	25.7	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	31.5	61	23.1	36.1	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	1:10 a	24.3	24.3	24.3	95	23.5	0.0	ESE	0.00	0.4	ESE	24.3	26.5	26.5	25.8	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.5	61	23.1	36.1	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	1:20 a	24.3	24.3	24.3	95	23.5	0.0	---	0.00	0.0	---	24.3	26.5	26.5	25.8	757.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.5	61	23.1	36.1	10.80	 .0701	0.00	234	1	100.0	10
26/10/14	1:30 a	24.3	24.3	24.3	95	23.5	0.0	---	0.00	0.0	---	24.3	26.5	26.5	25.8	757.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.5	61	23.1	36.1	10.80	 .0701	0.00	234	1	100.0	10
