		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
18/04/15	12:15 a	26.8	26.8	26.7	79	22.8	1.8	E	1.61	3.6	ENE	26.8	29.3	29.3	28.6	757.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.088	32.7	51	21.2	36.2	9.13	 .0701	0.00	350	1	100.0	15
18/04/15	12:30 a	24.2	26.8	24.2	81	20.8	3.1	SSE	2.82	8.0	S	24.2	25.8	25.8	25.0	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	32.7	50	20.9	35.9	9.02	 .0702	0.00	351	1	100.0	15
18/04/15	12:45 a	22.8	24.2	22.8	89	20.9	3.6	SSE	3.22	6.7	SSE	22.5	24.1	23.8	23.1	758.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	32.6	50	20.8	35.7	9.03	 .0702	0.00	351	1	100.0	15
18/04/15	1:00 a	21.9	22.8	21.9	92	20.6	2.7	SSE	2.41	6.7	SSE	21.9	23.3	23.3	22.5	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	32.5	50	20.7	35.6	9.03	 .0702	0.05	352	1	100.0	15
18/04/15	1:15 a	21.6	21.9	21.6	92	20.2	1.8	S	1.61	4.0	S	21.6	22.9	22.9	22.1	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	32.4	50	20.7	35.5	9.03	 .0702	0.00	351	1	100.0	15
18/04/15	1:30 a	21.3	21.5	21.2	93	20.1	1.3	ESE	1.21	2.7	SE	21.3	22.6	22.6	21.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	32.2	50	20.5	35.1	9.05	 .0703	0.00	351	1	100.0	15
18/04/15	1:45 a	21.3	21.4	21.3	92	20.0	0.4	SSE	0.40	2.2	SSE	21.3	22.6	22.6	21.8	757.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	32.2	50	20.4	35.0	9.05	 .0703	0.00	351	1	100.0	15
18/04/15	2:00 a	21.3	21.4	21.2	92	19.9	0.9	E	0.80	2.2	E	21.3	22.6	22.6	21.7	757.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	32.0	50	20.3	34.7	9.05	 .0703	0.00	351	1	100.0	15
18/04/15	2:15 a	21.2	21.3	21.2	93	20.0	2.2	E	2.01	4.5	E	21.2	22.5	22.5	21.7	757.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	31.7	50	20.0	34.3	9.05	 .0704	0.00	352	1	100.0	15
18/04/15	2:30 a	21.3	21.3	21.2	93	20.1	3.1	ENE	2.82	4.5	ENE	21.3	22.6	22.6	21.8	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	31.4	50	19.7	33.7	9.05	 .0705	0.00	351	1	100.0	15
18/04/15	2:45 a	21.5	21.5	21.2	93	20.3	1.8	E	1.61	3.1	E	21.5	22.8	22.8	22.0	757.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	31.2	50	19.5	33.1	9.05	 .0705	0.00	351	1	100.0	15
18/04/15	3:00 a	21.8	21.8	21.6	93	20.6	1.8	ENE	1.61	3.1	ENE	21.8	23.2	23.2	22.4	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.036	31.1	51	19.7	33.1	9.19	 .0705	0.00	351	1	100.0	15
18/04/15	3:15 a	21.7	21.8	21.7	93	20.5	2.2	NNE	2.01	3.1	NNE	21.7	23.1	23.1	22.3	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	30.9	51	19.6	32.9	9.20	 .0706	0.00	352	1	100.0	15
18/04/15	3:30 a	21.8	21.8	21.7	93	20.6	1.3	NNE	1.21	2.7	NNE	21.8	23.2	23.2	22.4	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.036	30.8	51	19.5	32.8	9.20	 .0706	0.00	351	1	100.0	15
18/04/15	3:45 a	22.1	22.1	21.8	93	20.9	0.0	NNE	0.00	0.9	NNE	22.1	23.4	23.4	22.7	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.039	30.9	51	19.6	32.9	9.20	 .0705	0.00	351	1	100.0	15
18/04/15	4:00 a	22.3	22.3	22.1	93	21.1	0.0	NNE	0.00	0.4	NNE	22.3	23.8	23.8	23.0	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.2	51	19.8	33.3	9.19	 .0704	0.00	351	1	100.0	15
18/04/15	4:15 a	22.3	22.4	22.3	92	21.0	0.0	NNE	0.00	0.9	NNE	22.3	23.7	23.7	22.9	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.042	31.3	51	19.9	33.6	9.18	 .0704	0.00	351	1	100.0	15
