		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
28/02/15	12:15 a	26.7	26.8	26.7	85	24.0	0.4	NNE	0.40	1.8	NNE	26.7	29.9	29.9	29.2	757.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.087	33.7	51	22.1	38.3	9.10	 .0697	0.00	350	1	100.0	15
28/02/15	12:30 a	26.7	26.7	26.7	85	23.9	0.0	NNE	0.00	0.9	NNE	26.7	29.8	29.8	29.1	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.087	33.7	51	22.1	38.3	9.10	 .0697	0.00	351	1	100.0	15
28/02/15	12:45 a	26.6	26.7	26.6	86	24.0	0.4	NNE	0.40	0.9	NNE	26.6	29.7	29.7	29.0	756.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.086	33.7	51	22.1	38.3	9.10	 .0697	0.00	352	1	100.0	15
28/02/15	1:00 a	26.3	26.6	26.3	86	23.8	0.4	NNE	0.40	1.8	NNE	26.3	29.3	29.3	28.6	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.083	33.7	51	22.1	38.3	9.10	 .0696	0.03	351	1	100.0	15
28/02/15	1:15 a	26.3	26.4	26.3	87	23.9	0.0	NNE	0.00	0.9	NNE	26.3	29.3	29.3	28.6	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.083	33.7	51	22.1	38.3	9.10	 .0696	0.00	351	1	100.0	15
28/02/15	1:30 a	25.7	26.3	25.7	84	22.8	0.9	S	0.80	2.7	S	25.7	28.0	28.0	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.077	33.7	51	22.1	38.3	9.10	 .0696	0.00	351	1	100.0	15
28/02/15	1:45 a	25.6	25.7	25.6	85	22.8	0.4	S	0.40	1.8	S	25.6	27.8	27.8	27.1	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.075	33.6	51	22.1	38.2	9.10	 .0696	0.00	352	1	100.0	15
28/02/15	2:00 a	25.4	25.6	25.4	84	22.5	0.4	S	0.40	2.2	S	25.4	27.6	27.6	26.8	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	33.6	50	21.7	37.7	8.95	 .0697	0.03	351	1	100.0	15
28/02/15	2:15 a	25.4	25.4	25.4	83	22.3	0.4	S	0.40	1.8	S	25.4	27.5	27.5	26.7	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	33.5	50	21.7	37.6	8.96	 .0697	0.00	351	1	100.0	15
28/02/15	2:30 a	25.3	25.4	25.3	83	22.2	0.9	S	0.80	2.7	S	25.3	27.3	27.3	26.6	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.073	33.4	50	21.6	37.5	8.96	 .0697	0.00	351	1	100.0	15
