		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/01/15	12:10 a	25.1	25.1	25.1	91	23.5	1.8	W	1.07	3.1	W	25.1	27.4	27.4	26.7	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	59	21.7	34.1	10.51	 .0703	0.00	232	1	100.0	10
01/01/15	12:20 a	25.1	25.1	25.0	91	23.5	0.9	WSW	0.54	2.7	WSW	25.1	27.4	27.4	26.7	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	59	21.7	34.1	10.51	 .0703	0.00	234	1	100.0	10
01/01/15	12:30 a	25.1	25.1	25.0	91	23.5	1.3	WSW	0.80	2.7	W	25.1	27.4	27.4	26.7	755.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	59	21.7	34.1	10.51	 .0703	0.00	234	1	100.0	10
01/01/15	12:40 a	25.1	25.1	25.1	91	23.5	1.3	WNW	0.80	2.7	WNW	25.1	27.4	27.4	26.7	755.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	60	21.9	34.2	10.67	 .0703	0.00	234	1	100.0	10
01/01/15	12:50 a	25.1	25.1	25.0	91	23.5	1.3	WNW	0.80	2.7	W	25.1	27.4	27.4	26.7	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	60	21.9	34.2	10.67	 .0703	0.00	235	1	100.0	10
01/01/15	1:00 a	25.0	25.1	25.0	91	23.4	1.3	W	0.80	2.7	W	25.0	27.3	27.3	26.6	755.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	60	21.9	34.2	10.67	 .0703	0.03	234	1	100.0	10
01/01/15	1:10 a	24.9	25.0	24.9	91	23.4	1.3	W	0.80	2.2	W	24.9	27.2	27.2	26.5	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	60	21.9	34.2	10.67	 .0702	0.00	234	1	100.0	10
01/01/15	1:20 a	24.9	24.9	24.9	91	23.4	1.8	W	1.07	2.7	WSW	24.9	27.2	27.2	26.5	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	60	21.9	34.2	10.67	 .0702	0.00	234	1	100.0	10
01/01/15	1:30 a	24.9	24.9	24.9	91	23.4	1.8	W	1.07	2.7	W	24.9	27.2	27.2	26.5	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	60	21.9	34.2	10.67	 .0702	0.00	234	1	100.0	10
01/01/15	1:40 a	24.9	24.9	24.9	92	23.6	1.3	W	0.80	2.7	W	24.9	27.3	27.3	26.6	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.5	60	21.9	34.1	10.67	 .0702	0.00	234	1	100.0	10
01/01/15	1:50 a	24.9	24.9	24.9	92	23.5	2.2	WNW	1.34	3.1	W	24.9	27.2	27.2	26.5	755.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.5	60	21.9	34.1	10.67	 .0703	0.00	234	1	100.0	10
