		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
27/07/15	12:01 a	26.7	26.7	26.6	79	22.7	2.7	E	0.16	3.1	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.0	45	21.3	39.4	8.15	 .0694	0.00	22	1	95.7	1
27/07/15	12:02 a	26.7	26.7	26.7	79	22.7	1.8	E	0.11	3.1	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.0	45	21.3	39.4	8.15	 .0694	0.00	22	1	95.7	1
27/07/15	12:03 a	26.7	26.7	26.7	79	22.7	2.7	E	0.16	4.5	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.0	45	21.3	39.4	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:04 a	26.7	26.7	26.7	79	22.7	1.8	E	0.11	3.1	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	24	1	100.0	1
27/07/15	12:05 a	26.7	26.7	26.7	79	22.8	2.2	E	0.13	3.6	E	26.7	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:06 a	26.7	26.7	26.7	79	22.8	2.2	E	0.13	2.7	E	26.7	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:07 a	26.7	26.7	26.7	79	22.8	2.2	E	0.13	2.7	E	26.7	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	24	1	100.0	1
27/07/15	12:08 a	26.7	26.7	26.7	78	22.6	2.7	E	0.16	3.1	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:09 a	26.7	26.7	26.7	78	22.6	1.3	E	0.08	2.7	E	26.7	29.1	29.1	28.3	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	24	1	100.0	1
27/07/15	12:10 a	26.8	26.8	26.7	78	22.6	1.8	E	0.11	3.6	ENE	26.8	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:11 a	26.8	26.8	26.8	78	22.6	1.8	E	0.11	2.2	E	26.8	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	24	1	100.0	1
27/07/15	12:12 a	26.8	26.8	26.8	78	22.6	1.8	E	0.11	2.7	E	26.8	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:13 a	26.8	26.8	26.8	78	22.6	2.2	E	0.13	3.1	E	26.8	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	23	1	100.0	1
27/07/15	12:14 a	26.8	26.8	26.8	78	22.6	2.2	E	0.13	3.1	E	26.8	29.2	29.2	28.4	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.006	35.1	45	21.3	39.5	8.15	 .0694	0.00	24	1	100.0	1
