		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
30/06/15	12:01 a	25.4	25.4	25.4	86	22.9	2.7	ENE	0.16	2.7	ENE	25.4	27.7	27.7	27.0	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	22	1	95.7	1
30/06/15	12:02 a	25.4	25.4	25.4	86	22.9	2.2	ENE	0.13	3.1	NE	25.4	27.7	27.7	27.0	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:03 a	25.4	25.4	25.4	86	22.9	2.2	NE	0.13	2.7	NE	25.4	27.7	27.7	27.0	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:04 a	25.4	25.4	25.4	87	23.1	2.2	NE	0.13	2.7	NE	25.4	27.7	27.7	27.1	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:05 a	25.4	25.4	25.4	87	23.1	2.7	NE	0.16	2.7	NE	25.4	27.7	27.7	27.1	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:06 a	25.4	25.4	25.4	87	23.1	2.2	NE	0.13	3.1	NE	25.4	27.7	27.7	27.1	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:07 a	25.4	25.4	25.4	87	23.1	1.8	NE	0.11	2.2	NE	25.4	27.7	27.7	27.1	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:08 a	25.4	25.4	25.4	87	23.1	1.8	NE	0.11	2.2	NE	25.4	27.7	27.7	27.1	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.2	46	20.9	37.9	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:09 a	25.4	25.4	25.4	87	23.1	1.8	NE	0.11	2.2	NE	25.4	27.7	27.7	27.1	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:10 a	25.4	25.4	25.4	87	23.1	2.2	NE	0.13	2.7	NE	25.4	27.8	27.8	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:11 a	25.4	25.4	25.4	87	23.1	1.8	NE	0.11	2.2	NE	25.4	27.8	27.8	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:12 a	25.4	25.4	25.4	87	23.1	2.2	NE	0.13	3.1	NE	25.4	27.8	27.8	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:13 a	25.4	25.4	25.4	87	23.1	2.2	NE	0.13	3.1	NE	25.4	27.8	27.8	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:14 a	25.4	25.4	25.4	87	23.1	1.8	NE	0.11	2.2	NE	25.4	27.8	27.8	27.2	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:15 a	25.5	25.5	25.4	87	23.2	1.8	NE	0.11	2.2	NE	25.5	27.9	27.9	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:16 a	25.5	25.5	25.5	87	23.2	1.8	ENE	0.11	2.2	ENE	25.5	27.9	27.9	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:17 a	25.5	25.5	25.5	87	23.2	1.8	NE	0.11	2.2	ENE	25.5	27.9	27.9	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:18 a	25.5	25.5	25.5	87	23.2	2.2	NE	0.13	2.7	NE	25.5	27.9	27.9	27.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
30/06/15	12:19 a	25.6	25.6	25.5	87	23.2	2.2	NE	0.13	3.1	NE	25.6	28.0	28.0	27.3	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	24	1	100.0	1
30/06/15	12:20 a	25.6	25.6	25.6	87	23.2	2.2	NE	0.13	2.7	NE	25.6	28.0	28.0	27.3	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	34.1	46	20.8	37.8	8.28	 .0697	0.00	23	1	100.0	1
