		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
21/03/15	12:15 a	25.1	25.2	25.1	84	22.2	0.4	SSW	0.40	1.8	SSW	25.1	27.0	27.0	26.2	759.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	34.2	45	20.6	37.8	8.15	 .0700	0.00	351	1	100.0	15
21/03/15	12:30 a	24.9	25.1	24.9	84	22.1	0.9	SSW	0.80	2.2	SSW	24.9	26.8	26.8	26.0	759.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	34.2	45	20.6	37.8	8.15	 .0699	0.00	351	1	100.0	15
21/03/15	12:45 a	25.1	25.1	24.9	84	22.2	0.4	SSW	0.40	1.3	SSW	25.1	27.0	27.0	26.2	759.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	34.2	45	20.5	37.7	8.15	 .0700	0.00	351	1	100.0	15
21/03/15	1:00 a	25.2	25.2	25.0	84	22.3	0.4	SSW	0.40	2.7	SSW	25.2	27.2	27.2	26.3	759.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	34.2	45	20.5	37.7	8.15	 .0699	0.03	351	1	100.0	15
21/03/15	1:15 a	25.3	25.3	25.2	84	22.4	0.0	SSW	0.00	0.9	SSW	25.3	27.3	27.3	26.5	758.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	34.1	45	20.5	37.6	8.15	 .0699	0.00	352	1	100.0	15
21/03/15	1:30 a	25.3	25.3	25.2	83	22.2	0.4	SSW	0.40	1.8	SSW	25.3	27.3	27.3	26.5	758.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.073	34.1	46	20.8	37.8	8.28	 .0699	0.00	351	1	100.0	15
21/03/15	1:45 a	25.2	25.3	25.2	83	22.1	0.4	SSW	0.40	2.7	SSW	25.2	27.2	27.2	26.3	758.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	34.1	46	20.8	37.7	8.28	 .0699	0.00	351	1	100.0	15
21/03/15	2:00 a	25.1	25.2	25.1	84	22.2	0.4	SSW	0.40	2.2	SSW	25.1	27.0	27.0	26.2	758.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	34.1	46	20.8	37.7	8.28	 .0699	0.03	351	1	100.0	15
21/03/15	2:15 a	24.8	25.1	24.8	85	22.1	0.4	SSW	0.40	1.8	SSW	24.8	26.8	26.8	25.9	758.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	34.0	46	20.7	37.6	8.29	 .0699	0.00	351	1	100.0	15
21/03/15	2:30 a	24.7	24.8	24.7	85	22.0	0.4	SSW	0.40	2.2	SSW	24.7	26.6	26.6	25.7	758.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	33.9	46	20.7	37.5	8.29	 .0699	0.00	352	1	100.0	15
21/03/15	2:45 a	24.6	24.7	24.6	85	21.9	0.4	SSW	0.40	2.2	SSW	24.6	26.4	26.4	25.6	758.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	33.9	46	20.6	37.4	8.29	 .0700	0.00	351	1	100.0	15
21/03/15	3:00 a	24.4	24.6	24.4	86	21.9	0.4	SSW	0.40	1.8	SSW	24.4	26.3	26.3	25.4	758.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	33.8	46	20.6	37.3	8.29	 .0700	0.03	351	1	100.0	15
21/03/15	3:15 a	24.3	24.4	24.3	86	21.8	0.4	SSW	0.40	1.8	SSW	24.3	26.1	26.1	25.3	758.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.063	33.8	46	20.6	37.3	8.29	 .0700	0.00	351	1	100.0	15
21/03/15	3:30 a	24.3	24.3	24.3	87	22.0	0.4	SSW	0.40	2.2	SSW	24.3	26.1	26.1	25.3	758.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	33.8	46	20.5	37.2	8.29	 .0700	0.00	352	1	100.0	15
21/03/15	3:45 a	24.2	24.3	24.2	87	21.9	0.4	SSW	0.40	1.8	SSW	24.2	26.1	26.1	25.2	758.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	33.7	46	20.5	37.1	8.30	 .0700	0.00	351	1	100.0	15
21/03/15	4:00 a	24.2	24.2	24.2	87	21.9	0.4	SSW	0.40	1.3	SSW	24.2	25.9	25.9	25.1	759.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	33.7	46	20.4	36.9	8.30	 .0701	0.03	351	1	100.0	15
21/03/15	4:15 a	24.1	24.2	24.1	87	21.8	0.4	SSW	0.40	1.8	SSW	24.1	25.8	25.8	25.0	759.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.060	33.7	46	20.4	36.9	8.30	 .0701	0.00	351	1	100.0	15
21/03/15	4:30 a	24.1	24.1	24.1	88	21.9	0.4	SSW	0.40	1.8	SSW	24.1	25.9	25.9	25.1	759.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.060	33.6	46	20.4	36.8	8.30	 .0701	0.00	352	1	100.0	15
21/03/15	4:45 a	24.1	24.1	24.1	88	21.9	0.4	SSW	0.40	1.8	SSW	24.1	25.9	25.9	25.1	759.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.060	33.6	46	20.4	36.8	8.30	 .0701	0.00	351	1	100.0	15
21/03/15	5:00 a	24.0	24.1	24.0	88	21.9	0.4	SSW	0.40	2.2	SSW	24.0	25.8	25.8	25.0	759.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.059	33.5	46	20.3	36.6	8.30	 .0702	0.03	351	1	100.0	15
21/03/15	5:15 a	23.9	24.0	23.9	88	21.8	0.9	SSW	0.80	2.2	SSW	23.9	25.8	25.8	24.9	759.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.058	33.5	47	20.6	36.9	8.45	 .0701	0.00	351	1	100.0	15
21/03/15	5:30 a	23.8	23.9	23.8	89	21.9	1.3	SSW	1.21	2.2	SSW	23.8	25.5	25.5	24.7	759.6	0.00	0.0	1	0.02	5	0.0	0.00	0.0	0.000	0.057	33.4	47	20.6	36.8	8.45	 .0702	0.00	351	1	100.0	15
21/03/15	5:45 a	23.8	23.8	23.7	89	21.9	0.4	SSW	0.40	2.2	SSW	23.8	25.5	25.5	24.8	759.9	0.00	0.0	13	0.28	21	0.0	0.00	0.0	0.000	0.057	33.4	47	20.5	36.7	8.45	 .0702	0.00	352	1	100.0	15
21/03/15	6:00 a	23.9	23.9	23.8	89	22.0	0.4	SSW	0.40	2.2	SSW	23.9	25.7	25.7	25.3	760.0	0.00	0.0	35	0.75	49	0.0	0.00	0.0	0.000	0.058	33.4	47	20.5	36.7	8.45	 .0702	0.03	351	1	100.0	15
21/03/15	6:15 a	24.0	24.0	23.9	88	21.9	0.4	SSW	0.40	2.2	SSW	24.0	25.8	25.8	25.8	760.2	0.00	0.0	67	1.44	88	0.0	0.00	0.0	0.000	0.059	33.4	47	20.5	36.7	8.45	 .0702	0.00	351	1	100.0	15
21/03/15	6:30 a	24.2	24.2	24.0	88	22.1	0.9	S	0.80	2.7	SSW	24.2	26.1	26.1	26.7	760.4	0.00	0.0	114	2.45	139	0.3	0.03	0.5	0.000	0.061	33.3	47	20.5	36.6	8.45	 .0703	0.00	351	1	100.0	15
21/03/15	6:45 a	24.6	24.6	24.2	87	22.2	0.9	S	0.80	2.7	S	24.6	26.4	26.4	27.8	760.5	0.00	0.0	171	3.68	200	0.6	0.06	0.7	0.000	0.065	33.3	47	20.4	36.4	8.45	 .0703	0.00	352	1	100.0	15
21/03/15	7:00 a	25.0	25.0	24.6	86	22.5	1.3	SSE	1.21	4.5	SSW	25.0	27.1	27.1	31.7	760.7	0.00	0.0	230	4.95	260	0.8	0.09	0.9	0.000	0.069	33.3	47	20.4	36.4	8.45	 .0703	0.10	351	1	100.0	15
21/03/15	7:15 a	25.4	25.4	25.0	85	22.7	1.3	S	1.21	3.1	S	25.4	27.7	27.7	33.2	760.9	0.00	0.0	291	6.26	316	1.1	0.12	1.2	0.000	0.074	33.3	47	20.4	36.4	8.45	 .0703	0.00	351	1	100.0	15
