		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
23/05/15	12:15 a	28.9	29.1	28.9	86	26.4	2.7	ENE	2.41	4.5	ENE	28.9	35.9	35.9	35.4	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.111	34.6	53	23.6	41.4	9.28	 .0691	0.00	350	1	100.0	15
23/05/15	12:30 a	28.8	28.9	28.8	87	26.5	2.7	ENE	2.41	4.5	ENE	28.8	35.9	35.9	35.4	755.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	34.5	53	23.5	41.1	9.29	 .0692	0.00	351	1	100.0	15
23/05/15	12:45 a	28.8	28.9	28.7	87	26.4	2.2	ENE	2.01	3.1	ENE	28.8	35.7	35.7	35.2	754.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.109	34.5	53	23.5	41.1	9.29	 .0691	0.00	351	1	100.0	15
23/05/15	1:00 a	28.7	28.7	28.7	88	26.5	1.8	E	1.61	3.1	E	28.7	35.6	35.6	35.1	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.108	34.5	53	23.5	41.1	9.29	 .0691	0.03	351	1	100.0	15
23/05/15	1:15 a	28.6	28.7	28.6	88	26.4	1.8	ENE	1.61	3.6	ENE	28.6	35.2	35.2	34.7	754.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.106	34.4	54	23.7	41.2	9.49	 .0691	0.00	352	1	100.0	15
23/05/15	1:30 a	28.5	28.6	28.5	89	26.5	1.8	E	1.61	3.1	ENE	28.5	35.2	35.2	34.7	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.106	34.4	54	23.7	41.2	9.49	 .0691	0.00	351	1	100.0	15
23/05/15	1:45 a	28.4	28.5	28.4	89	26.5	1.8	E	1.61	2.7	ENE	28.4	35.1	35.1	34.6	754.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.105	34.3	54	23.7	41.1	9.50	 .0691	0.00	351	1	100.0	15
23/05/15	2:00 a	28.3	28.4	28.3	90	26.5	2.2	ENE	2.01	3.1	ENE	28.3	34.9	34.9	34.4	754.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.104	34.3	54	23.7	41.1	9.50	 .0691	0.03	352	1	100.0	15
23/05/15	2:15 a	28.3	28.3	28.3	90	26.5	2.2	ENE	2.01	3.1	ENE	28.3	34.7	34.7	34.2	754.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.104	34.2	54	23.6	40.8	9.51	 .0691	0.00	351	1	100.0	15
