		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
08/09/15	12:01 a	26.2	26.2	26.2	83	23.0	3.6	ENE	0.21	4.5	ENE	25.9	28.6	28.4	27.8	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	21	1	91.3	1
08/09/15	12:02 a	26.2	26.2	26.2	83	23.0	3.1	E	0.19	3.6	E	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:03 a	26.2	26.2	26.2	83	23.0	3.1	ENE	0.19	4.0	ENE	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:04 a	26.2	26.2	26.2	83	23.0	3.1	ENE	0.19	3.6	ENE	26.2	28.6	28.6	27.9	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:05 a	26.2	26.2	26.2	83	23.0	2.2	ENE	0.13	3.1	ENE	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:06 a	26.2	26.2	26.2	83	23.0	2.7	ENE	0.16	3.1	ENE	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:07 a	26.2	26.2	26.2	83	23.0	2.7	ENE	0.16	3.1	ENE	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:08 a	26.2	26.2	26.1	83	23.0	3.1	ENE	0.19	4.0	ENE	26.2	28.6	28.6	27.9	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:09 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:10 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:11 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:12 a	26.1	26.1	26.1	83	23.0	2.7	NE	0.16	3.6	ENE	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:13 a	26.1	26.1	26.1	83	23.0	2.7	NE	0.16	3.6	NE	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:14 a	26.1	26.1	26.1	83	23.0	2.2	NE	0.13	3.1	E	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:15 a	26.1	26.1	26.1	83	23.0	2.7	ENE	0.16	3.1	E	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:16 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	3.1	ENE	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:17 a	26.1	26.1	26.1	83	22.9	2.7	NE	0.16	3.6	NE	26.1	28.4	28.4	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:18 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:19 a	26.1	26.1	26.1	83	22.9	3.1	ENE	0.19	4.0	ENE	26.1	28.4	28.4	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:20 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	758.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:21 a	26.1	26.1	26.1	83	22.9	3.1	ENE	0.19	3.6	ENE	26.1	28.4	28.4	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:22 a	26.1	26.1	26.1	83	22.9	2.7	ENE	0.16	3.6	NE	26.1	28.4	28.4	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:23 a	26.1	26.1	26.1	83	23.0	2.2	NE	0.13	3.1	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:24 a	26.1	26.1	26.1	83	23.0	3.1	ENE	0.19	3.6	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:25 a	26.1	26.1	26.1	83	23.0	2.7	ENE	0.16	3.1	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:26 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:27 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:28 a	26.1	26.1	26.1	83	23.0	2.7	ENE	0.16	3.1	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:29 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	758.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:30 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	3.1	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:31 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	3.1	ENE	26.1	28.5	28.5	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:32 a	26.1	26.1	26.1	83	23.0	2.2	ENE	0.13	2.7	ENE	26.1	28.5	28.5	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:33 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:34 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	3.1	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:35 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	3.1	E	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:36 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:37 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:38 a	26.1	26.1	26.1	82	22.7	2.2	ENE	0.13	3.1	ENE	26.1	28.3	28.3	27.6	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:39 a	26.1	26.1	26.1	83	22.9	2.2	E	0.13	2.7	E	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:40 a	26.1	26.1	26.1	83	22.9	2.2	E	0.13	2.7	E	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:41 a	26.1	26.1	26.1	82	22.7	2.2	ENE	0.13	2.7	ENE	26.1	28.3	28.3	27.6	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:42 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:43 a	26.1	26.1	26.1	83	22.9	1.8	ENE	0.11	2.2	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:44 a	26.1	26.1	26.1	82	22.7	1.8	ENE	0.11	2.2	ENE	26.1	28.3	28.3	27.6	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:45 a	26.1	26.1	26.1	83	22.9	1.8	ENE	0.11	2.7	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:46 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	3.1	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:47 a	26.1	26.1	26.1	83	22.9	2.7	ENE	0.16	3.1	ENE	26.1	28.4	28.4	27.8	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:48 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:49 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.2	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:50 a	26.1	26.1	26.1	83	22.9	1.8	ENE	0.11	2.2	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:51 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.2	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:52 a	26.1	26.1	26.1	83	22.9	2.7	E	0.16	3.1	E	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:53 a	26.1	26.1	26.1	83	22.9	2.7	E	0.16	3.1	E	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:54 a	26.1	26.1	26.1	83	22.9	2.7	ENE	0.16	3.1	ENE	26.1	28.4	28.4	27.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:55 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	2.7	ENE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:56 a	26.1	26.1	26.1	83	22.9	2.2	ENE	0.13	3.1	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:57 a	26.1	26.1	26.1	83	22.9	2.2	NE	0.13	3.1	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	12:58 a	26.1	26.1	26.1	83	22.9	1.8	NE	0.11	2.2	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	24	1	100.0	1
08/09/15	12:59 a	26.1	26.1	26.1	83	22.9	2.2	NE	0.13	3.6	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
08/09/15	1:00 a	26.1	26.1	26.1	83	22.9	1.8	NE	0.11	2.7	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.03	24	1	100.0	1
08/09/15	1:01 a	26.1	26.1	26.1	83	22.9	1.8	NE	0.11	2.2	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	21	1	91.3	1
08/09/15	1:02 a	26.1	26.1	26.1	83	22.9	1.8	NE	0.11	2.2	NE	26.1	28.4	28.4	27.8	757.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	33.4	50	21.5	37.4	8.97	 .0699	0.00	23	1	100.0	1
