		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/23/16	5:01 a	77.9	77.9	77.9	77	70.1	1.8	WSW	0.11	2.7	WSW	77.9	80.8	80.8	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	50	67.9	93.5	9.05	1.1316	0.00	24	1	100.0	1
01/23/16	5:02 a	77.9	77.9	77.9	77	70.1	2.2	SW	0.13	2.7	SW	77.9	80.8	80.8	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	50	67.9	93.5	9.05	1.1317	0.00	23	1	100.0	1
01/23/16	5:03 a	77.9	77.9	77.9	77	70.1	2.2	SW	0.13	2.7	WSW	77.9	80.8	80.8	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	50	67.9	93.5	9.05	1.1316	0.00	24	1	100.0	1
01/23/16	5:04 a	77.8	77.9	77.8	77	70.0	2.2	SW	0.13	3.1	SW	77.8	80.7	80.7	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	50	67.9	93.5	9.05	1.1317	0.00	23	1	100.0	1
01/23/16	5:05 a	77.8	77.8	77.8	77	70.0	1.8	WSW	0.11	2.2	WSW	77.8	80.7	80.7	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1312	0.00	23	1	100.0	1
01/23/16	5:06 a	77.8	77.8	77.8	77	70.0	2.7	SW	0.16	3.6	WSW	77.8	80.7	80.7	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	50	67.9	93.5	9.05	1.1317	0.00	24	1	100.0	1
01/23/16	5:07 a	77.8	77.8	77.8	77	70.0	1.3	WSW	0.08	2.2	WSW	77.8	80.7	80.7	---	759.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1312	0.00	23	1	100.0	1
01/23/16	5:08 a	77.8	77.8	77.8	78	70.4	1.8	SW	0.11	2.2	SW	77.8	80.8	80.8	---	759.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1312	0.00	24	1	100.0	1
01/23/16	5:09 a	77.7	77.8	77.7	78	70.3	2.2	WSW	0.13	2.7	SW	77.7	80.7	80.7	---	759.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1312	0.00	23	1	100.0	1
01/23/16	5:10 a	77.7	77.7	77.7	78	70.3	1.8	SW	0.11	2.2	SW	77.7	80.7	80.7	---	759.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1312	0.00	24	1	100.0	1
01/23/16	5:11 a	77.6	77.7	77.6	78	70.2	1.3	SW	0.08	2.2	SW	77.6	80.6	80.6	---	759.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.009	88.9	51	68.4	93.8	9.17	1.1313	0.00	23	1	100.0	1
