		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
04/01/17	12:01 a	79.4	79.5	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1197	0.00	22	1	95.7	1
04/01/17	12:02 a	79.4	79.4	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	24	1	100.0	1
04/01/17	12:03 a	79.4	79.4	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	23	1	100.0	1
04/01/17	12:04 a	79.4	79.5	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	24	1	100.0	1
04/01/17	12:05 a	79.4	79.5	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	23	1	100.0	1
04/01/17	12:06 a	79.4	79.4	79.4	80	72.7	0.0	---	0.00	0.0	---	79.4	83.5	83.5	82.3	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	24	1	100.0	1
04/01/17	12:07 a	79.4	79.4	79.4	81	73.1	0.0	---	0.00	0.0	---	79.4	83.7	83.7	82.6	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	23	1	100.0	1
04/01/17	12:08 a	79.4	79.5	79.4	81	73.1	0.0	---	0.00	0.0	---	79.4	83.7	83.7	82.6	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.3	49	70.4	99.3	8.80	1.1196	0.00	23	1	100.0	1
04/01/17	12:09 a	79.5	79.5	79.4	81	73.2	0.0	---	0.00	0.0	---	79.5	83.9	83.9	82.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.4	49	70.5	99.5	8.80	1.1193	0.00	24	1	100.0	1
04/01/17	12:10 a	79.5	79.5	79.5	81	73.2	0.0	---	0.00	0.0	---	79.5	83.9	83.9	82.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.4	49	70.5	99.5	8.80	1.1193	0.00	23	1	100.0	1
04/01/17	12:11 a	79.5	79.5	79.5	81	73.2	0.0	---	0.00	0.0	---	79.5	83.9	83.9	82.8	757.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.010	92.4	49	70.5	99.5	8.80	1.1194	0.00	24	1	100.0	1
